4. 12.;Barbara
5. 12.;Oto
6. 12.;Mikuláš
6. 12.;Nikolas
7. 12.;Ambróz
8. 12.;Marína
9. 12.;Izabela
10. 12.;Radúz
11. 12.;Hilda
12. 12.;Otília
13. 12.;Lucia
14. 12.;Branislava
14. 12.;Bronislava
15. 12.;Ivica
16. 12.;Albína
17. 12.;Kornélia
18. 12.;Sláva
18. 12.;Slávka
19. 12.;Judita
20. 12.;Dagmara
21. 12.;Bohdan
21. 12.;Noel
22. 12.;Adela
23. 12.;Nadežda
23. 12.;Naďa
24. 12.;Adam
24. 12.;Eva
25. 12.;-
26. 12.;Štefan
27. 12.;Filoména
28. 12.;Ivana
28. 12.;Ivona
29. 12.;Milada
29. 12.;Nátan
30. 12.;Dávid
31. 12.;Silvester
